                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98043,                0.70992,                0.88837,                0.92095,                0.80853,                0.89327,                0.66901,                 0.8612,                0.60209,                0.88302,             0.00082925,             0.00082925,             0.00082925
                     36,                0.95773,                0.70171,                0.87945,                0.95121,                0.81175,                0.88711,                0.67034,                0.82577,                0.57091,                0.87035,             0.00081688,             0.00081688,             0.00081688
                     37,                0.93951,                0.66204,                0.87838,                0.93922,                0.82807,                0.89253,                0.66067,                0.87027,                0.56353,                0.87452,              0.0008045,              0.0008045,              0.0008045
                     38,                0.95814,                0.66983,                0.87251,                0.93064,                0.82041,                0.88376,                0.62842,                0.91865,                0.60342,                0.87495,             0.00079213,             0.00079213,             0.00079213
                     39,                0.98937,                0.67434,                0.88039,                0.94445,                0.81501,                0.88779,                0.64191,                0.94849,                0.59183,                0.88047,             0.00077975,             0.00077975,             0.00077975
                     40,                0.93111,                0.67054,                0.86749,                0.93485,                0.82084,                0.90143,                0.67552,                0.85236,                 0.5447,                0.87139,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87848,                0.65096,                0.86333,                0.95453,                0.81834,                0.88629,                0.67837,                0.81801,                0.52663,                0.86297,               0.000755,               0.000755,               0.000755
                     42,                0.87819,                0.65234,                0.86912,                0.97291,                0.80407,                0.90231,                0.65941,                0.91223,                0.55615,                0.87721,             0.00074263,             0.00074263,             0.00074263
                     43,                0.88946,                0.62101,                 0.8588,                0.97465,                 0.8299,                0.89548,                0.68368,                0.83361,                0.52794,                0.86845,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.9069,                0.62419,                0.86496,                0.94473,                0.85225,                0.91484,                0.66998,                0.92254,                0.54159,                0.87238,             0.00071788,             0.00071788,             0.00071788
                     45,                0.87344,                0.60384,                0.86876,                0.97012,                0.82262,                0.89967,                 0.6858,                0.80604,                0.50123,                0.86444,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88197,                0.59813,                0.86552,                0.98012,                0.84585,                 0.9093,                0.67706,                0.83644,                0.49624,                0.86359,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87386,                0.59849,                0.86238,                0.91889,                0.85975,                0.90266,                0.67414,                0.85194,                  0.524,                0.86613,             0.00068075,             0.00068075,             0.00068075
                     48,                0.85863,                0.58337,                0.85547,                0.95503,                0.84215,                0.92319,                0.70579,                0.81186,                0.49701,                0.85716,             0.00066838,             0.00066838,             0.00066838
                     49,                0.84444,                0.57742,                0.84664,                0.98529,                0.80905,                0.91584,                 0.6789,                0.88654,                0.54364,                0.86056,               0.000656,               0.000656,               0.000656
                     50,                0.85188,                0.58115,                0.85017,                0.96511,                0.85711,                0.92257,                0.69872,                   0.81,                0.49955,                0.85454,             0.00064362,             0.00064362,             0.00064362
                     51,                0.82355,                0.55634,                0.84299,                0.97656,                0.82468,                0.91431,                0.67152,                0.87542,                0.51612,                0.86576,             0.00063125,             0.00063125,             0.00063125
                     52,                0.82518,                0.55719,                0.84589,                0.98143,                 0.8387,                0.91508,                0.69393,                0.82562,                0.51385,                0.86019,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.8538,                0.57465,                0.85815,                0.96206,                  0.857,                0.91651,                0.68098,                0.85095,                0.50289,                0.86593,              0.0006065,              0.0006065,              0.0006065
                     54,                0.85111,                0.55125,                0.84331,                0.95253,                0.85322,                0.92444,                0.71083,                0.78083,                0.46861,                  0.852,             0.00059413,             0.00059413,             0.00059413
                     55,                0.81392,                0.54709,                0.84818,                0.92217,                0.88671,                0.92477,                0.69743,                0.81611,                0.47989,                0.85271,             0.00058175,             0.00058175,             0.00058175
                     56,                0.78562,                0.52705,                0.83666,                0.94893,                0.88313,                0.93856,                0.70293,                0.81247,                0.46899,                0.85351,             0.00056938,             0.00056938,             0.00056938
                     57,                0.78373,                0.51268,                0.84573,                0.96316,                0.88908,                0.94087,                 0.7031,                0.77936,                0.45789,                0.84829,               0.000557,               0.000557,               0.000557
                     58,                0.78914,                0.52125,                0.84615,                0.97773,                0.85267,                0.93874,                0.73136,                 0.7593,                0.43794,                0.84975,             0.00054463,             0.00054463,             0.00054463
                     59,                0.81282,                0.52879,                0.83952,                0.92863,                0.87956,                0.92696,                0.70171,                0.80132,                0.47896,                 0.8538,             0.00053225,             0.00053225,             0.00053225
                     60,                0.79518,                0.53124,                0.84001,                0.96499,                0.85363,                0.93262,                 0.7176,                0.75942,                0.45308,                0.84608,             0.00051988,             0.00051988,             0.00051988
